Midterm mark,Final mark
32.5,31.7
53.4,68.8
61.5,62.6
47.5,71.5
59.8,87.2
55.1,78.2
52.2,79.6
39.3,59.2
48.1,75.3
52.6,71.3
45.4,55.2
54.4,82.5
44.2,62
58.2,75.4
56.7,81.4
49,60.7
44.7,82.9
60.3,97.4
45.6,48.8
38.8,56.9
66.2,83.9
65.4,118.6
47.5,57.3
41.6,51.4
51.8,75.4
59.4,74.8
57.3,95.5
63.6,95.2
46.7,79.1
50.6,83.4
52.2,63.4
35.6,41.4
42.4,76.6
58.2,96.8
57.5,74.1
45.4,66.6
61.9,77.8
33.1,50.7
36.4,62.1
37.7,60.8
44.6,52.7
43.3,58.6
50.1,82.9
43.9,61.4
63,115.2
32.7,45.6
40.2,54.1
53.6,88
33.9,52.7
64.7,93.6
38.1,80.2
44.5,65.1
40.6,65.6
41.7,65.3
51.1,73.4
55.1,71.1
41.4,79.1
62.5,86.5
49.2,84.7
41.1,59.4
41.2,61.7
50.2,69.8
52.4,86.1
50.1,59.1
33.6,69.9
39.6,44.9
56.1,85.5
57.4,95.5
60.3,70.3
35.7,52.7
31.6,50.4
53.7,63.6
46.7,72.2
43.1,57.8
70.3,104.3
44.5,86.6
57.5,91.5
36.9,55.2
55.8,79.6
39,44.8
56.9,80.2
56.9,83.1
34.3,55.7
59,77.6
57.8,99.1
54.3,79.1
51.1,69.6
50.3,69.5
44.2,73.7
38,61.4
32.9,67.2
53.7,85.7
68.8,114.9
46.2,90.1
68.3,97.9
50,81.5
49.2,72.1
50,85.2
48.1,66.2
25.1,53.5